hablar; _2IMPE; tu; ongoingAction; ¿Quién es el hombre con el que hablabas?; Who is the man you were talking to?
hablar; _2PRET; tu; completedActionInPast; He leído el artículo del que me hablaste.;  I read the article you told me about.
pagar; _2PRET; el; completedActionInPast; La última vez que comimos afuera, ella pagó por la cena.  ; The last time we went out to eat, she paid for the dinner.
deber;_2PRET;yo; completedActionInPast;  No debí haberme quedado despierto toda la noche.  ; I shouldn't have stayed up all night.
llamar; _2PRET;vosotros; completedActionInPast; ¿Por qué no llamasteis?  ; Why didn't you guys call?
hablar; _2PAPE; yo; happenedBeforeAnotherAction; Había hablado con el jefe antes de que llegara el correo.;  I had spoken with the boss before the mail arrived.
hablar; _2PAPE; yo; happenedBeforeAnotherAction; Había hablado con el doctor antes de que me llamaran para la cita.;  I had spoken with the doctor before they called me for the appointment.
hablar; _2PAPE; yo; happenedBeforeAnotherAction; Había hablado con María antes de que llegara la noticia.;  I had spoken with María before the news arrived.
hablar; _2PAPE; yo; happenedBeforeAnotherAction; Había hablado con mi jefe cuando decidieron cambiar el horario.;  I had spoken with my boss when they decided to change the schedule.

hablar; _2PAPE; yo; completedBeforeTimeInPast;  Había hablado con el profesor antes de las 8 de la mañana.;  I had spoken with the professor before 8 in the morning.
hablar; _2PAPE; yo; completedBeforeTimeInPast; Había hablado con mis padres antes de que empezara la cena a las 7.;  I had spoken with my parents before dinner started at 7.
hablar; _2PAPE; yo; completedBeforeTimeInPast; Había hablado con el cliente antes del mediodía.;  I had spoken with the client before noon.

hablar; _2PAPE; ellos; earlierInSequenceOfPastActions; Ellos habían hablado con el director antes de presentar el informe.;  They had spoken with the director before presenting the report.
hablar; _2PAPE; ellos; earlierInSequenceOfPastActions; Ellas habían hablado con el equipo antes de empezar el proyecto.;  They had spoken with the team before starting the project.
hablar; _2PAPE; ellos; earlierInSequenceOfPastActions; Ustedes habían hablado con el proveedor antes de que llegara el material.;  You all had spoken with the supplier before the materials arrived.

hablar; _2PRES; yo; now; Gracias por llamar pero en este momento yo hablo con mis amigos sobre el proyecto.;  Thanks for calling but at the moment I'm talking with my friends about the project.
hablar; _2PRES; tu; nearFuture; Esta semana tú hablas con tu jefe acerca del nuevo plan?;  This week you're going to speak with your boss about the new plan?


hablar; _2PRES; yo; habit; Yo hablo con mis padres todos los días.;  I talk with my parents every day.
hablar; _2PRES; yo; habit; Yo hablo con mis amigos cada fin de semana.;  I talk with my friends every weekend.
hablar; _2PRES; yo; habit; Yo hablo en reuniones de trabajo cada lunes.;  I speak at work meetings every Monday.

hablar; _2PRES; yo; nearFuture; Yo hablo con el director mañana por la mañana.;  I am talking to the director tomorrow morning.
hablar; _2PRES; yo; nearFuture; Yo hablo con el cliente más tarde hoy.;  I am speaking with the client later today.
hablar; _2PRES; yo; nearFuture; Yo hablo con mi jefe sobre el proyecto la próxima semana.;  I am talking with my boss about the project next week.

hablar; _2PRES; tu; now; Lo siento por interrumpirte. ¿Tú hablas con tu amigo sobre el proyecto?; I'm sorry I interrupted you. Are you talking with your friend about the project?  
hablar; _2PRES; tu; now; Lo siento por interrumpirte. ¿Tú hablas con tu jefe sobre el informe?; I'm sorry I interrupted you. Are you talking with your boss about the report?  
hablar; _2PRES; tu; nearFuture; ¿Tú hablas en la reunión de esta mañana?; Are you speaking in this morning's meeting?

hablar; _2PRES; tu; habit; Tú hablas con tus amigos todos los días.; You talk with your friends every day.  
hablar; _2PRES; tu; habit; Tú hablas con tu madre cada fin de semana.; You talk with your mother every weekend.  
hablar; _2PRES; tu; habit; Tú hablas en clase todas las mañanas.; You speak in class every morning.

hablar; _2IMPE; yo; ongoingAction; Yo hablaba con mis amigos durante la tarde.; I was talking with my friends in the afternoon.  
hablar; _2IMPE; yo; twoActionsInPast; Yo hablaba en clase cuando el profesor llegó.; I was speaking in class when the teacher arrived.  
hablar; _2IMPE; yo; twoActionsInPast; Yo hablaba por teléfono mientras cocinaba.; I was talking on the phone while I was cooking.

hablar; _2PRET; yo; completedActionInPast; Yo hablé con mi hermano sobre el problema.; I talked to my brother about the problem.  
hablar; _2PRET; yo; completedActionInPast; Yo hablé en la reunión ayer.; I spoke in the meeting yesterday.  
hablar; _2PRET; yo; completedActionInPast; Yo hablé con el profesor después de clase.; I spoke with the teacher after class.


hablar; _2IMPE; yo; habitInPast; Yo hablaba con mis amigos todos los días.; I used to talk with my friends every day.  
hablar; _2IMPE; yo; habitInPast; Yo hablaba con mi abuela cada semana.; I would talk with my grandmother every week.  
hablar; _2IMPE; yo; habitInPast; Yo hablaba en clase de español a menudo.; I often talked in Spanish class.

hablar; _2PRET; yo; specificTimeFrameInPast; Yo hablé con mi jefe el lunes.; I talked to my boss on Monday.  
hablar; _2PRET; yo; specificTimeFrameInPast; Yo hablé en la conferencia el año pasado.; I spoke at the conference last year.  
hablar; _2PRET; yo; specificTimeFrameInPast; Yo hablé con mis amigos durante las vacaciones.; I talked with my friends during the holidays.

hablar; _2PRET; yo; sequentialActionsInPast; Yo hablé con mi madre y luego llamé a mi padre.; I talked to my mother and then called my father.  
hablar; _2PRET; yo; sequentialActionsInPast; Yo hablé con el profesor y después envié el correo.; I spoke with the teacher and then sent the email.  
hablar; _2PRET; yo; sequentialActionsInPast; Yo hablé con mis amigos y finalmente fui a casa.; I talked with my friends and finally went home.

hablar; _2PRPE; yo; inPastContinueToPresent; Yo he hablado con muchos estudiantes este semestre.; I have talked with many students this semester.  
hablar; _2PRPE; yo; inPastContinueToPresent; Yo he hablado sobre mis planes con mi familia.; I have talked about my plans with my family.  
hablar; _2PRPE; yo; inPastContinueToPresent; Yo he hablado con el profesor varias veces este año.; I have spoken with the teacher several times this year.

hablar; _2PRET; tu; specificTimeFrameInPast;  ¿Hablaste ayer con mi padre?;  Did you speak to my father yesterday?

hablar; _2PRET; tu; specificTimeFrameInPast; Conozco a la chica con la que hablaste ayer.;  I know the girl you were talking to yesterday.

decidir; _2PRPE; tu; completedInRecentPast;  ¿Ya te has decidido?; Have you decided yet?

hablar; _2PRET; yo; clearBeginningAndEndInPast; Hablé con mi jefe sobre el proyecto ayer.; I spoke with my boss about the project yesterday.

hablar; _2PRET; yo; clearBeginningAndEndInPast; Ayer hablé con el doctor por veinte minutos.; Yesterday I spoke with the doctor for twenty minutes.

hablar; _2PRET; yo; clearBeginningAndEndInPast; Hablé con mi hermano al final del día.; I spoke with my brother at the end of the day.


olvidar; _2IMPE; tu; ongoingAction; Olvidabas siempre tus llaves en casa.; You were always forgetting your keys at home.
olvidar; _2IMPE; tu; ongoingAction;Olvidabas lo que te dije cada vez.; You kept forgetting what I told you every time.
olvidar; _2IMPE; tu; ongoingAction; Olvidabas llevar el almuerzo a la escuela.; You were forgetting to take lunch to school.
